Coment,Status
mun kata aran kiyana katha balapanko nikn puke talk danna epa hutto ekath kalawak 🖕,Hate
ammata hukapu gon huththige putha samajeta adarshawath deyak karapan 😣,Hate
pakaya ballek wage marila inna ekak dapan,Hate
eeya hutto idakin kolukara haththa 😅 blaakka,Hate
mona hutte sinduda me thu witharak,Hate
wada na  hutto balana gaman,Hate
nilame thoge putha wenna athi thoge laga inne thopita henema gahapiya kalakanni thirisan paula,Hate
camara ussan ena madya ballange athapaya kadiya yuthui,Hate
hena gahapan pake lawke,Hate
kari demellu kana palenna gaahanna one muslim ballo,Hate
me sakkilinta guu gahala ape raten elawanna ona koi rajaya awath ekai munta bayai,Hate
muslim haththage palli kudu karanam dawasa gane hari,Hate
ape rata kanawa anthawadi hutta okunge ammalata hukawanna ona ballo dala,Hate
muslim haththe bahutharaya owata yatin kamathie udin akamathie me pathola andu wala inna babalata puluwan magulak na ,Hate
sinhala jathiya wesakam karala thama awajathaka lamai hadanne,Hate
katha krnna egen ganin okkotama kalin police ballo,Hate
badu form karanna epa gon huththige putha,Hate
nodakin wanachara gani ganu apita lajjai balli,Hate
wesi ane paw apaya suwar,Hate
ai huththiye thope hutta raththaranda,Hate
salli dila jangi hodanna pissuda hutto wewal deka gahaganin puke,Hate
patta wesi thoge ammath ehemada,Hate
munge ammalata hukanna hithenne mata witharada wesiyo form karana ponna pakaya,Hate
me huththita hukanna kari wesi yako lajja nathuwa redi adan kiyanawa taukanda,Hate
haal kali form karana thopita hena gahanawa me wage kari wada nokara hukapiyau maha pare,Hate
thoge ammata hukapan huttige putha,Hate
mona ponnayekda yako mu,Hate
monawada hutto me gennela thiyenne supiri kadak gepanko balala athe parakwath gahannaහන්න 😑,Hate
comments balannamai awe lansi hutto,Hate
muge ammata hukanna ade ponna pakaya,Hate
mekith ekka nidagann kiyala hithuna thawa kauru hari innawada  😂 😂,Hate
paw sahagahapan mewa danawata pawul kada ihiranawata,Hate
ane dewyane mage rata agadayata wattawanna hadana wesa haththa,Hate
nodakin wesi mata nam penna ba 😡 😡 😡 😡 😡 😡 😡,Hate
ganukamata lajjai kantawak kiynne koi tharam uthum kenekda me para haththa ekath nathi karanawa apayata thamanma para ikmanin hadagena iwarai,Hate
wesiyo tika  lankawe inna me huththawal samajajalawala dana unta gahala maranna ona thirisannu lajjai,Hate
kari gon wesi thota wena paiyak ewannada rata kapu wesi,Hate
thu nodakin amana haththa patta wesiyak,Hate
me wesige amma kohoma athda,Hate
sirawatama me wesige kisima lassanak na ganuth epa wenawa 😂,Hate
me wesiwa bella kapala maranna ona,Hate
wachalakama berenawa mekige lankawe wesa badu,Hate
baduwa kiynn abari kamata aru bombe kiyanawada koheda,Hate
ane huke patta huththa pom karanawa,Hate
ponnaya danna ewa nathnam noda hitapan,Hate
idakin wesige katahada 🤮 🤮 🤮,Hate
mokakda hutto me video eke waradda aththanee kiyala thiyenne,Hate
mona ponna huththakda yako meka 😂 😂,Hate
kauda hutto mekita maw padaviya dunna eka 🤮 🤮 🤮,Hate
lamayekge agayak nathi wesa ganu,Hate
thopi hodai ballo dammala hubnodkin wesavi,Hate
niyamai badu 😡  🌹 walak baluwa  🙉,Hate
me wage ponna wesa badu aran hit wenna hithe aththe ponnayata mewa therenne na pakaya,Hate
police kanthawa ganunta gahanna puluwanne oyta yatibada kora wenna pain denna thibune,Hate
kari hamba wasiyo wasa dila maranna ona,Hate
thambi pakku ekka me rata hadanna ba,Hate
muslim ganu kiynne sakkilima thama ape paththe innawa oya wage sakkili,Hate
mun okkoma maranna ona,Hate
munta kana palenna denna thibbe rate neethiya ekka adaw allana para haththa,Hate
kari ballo badaginnema marenna arinna ona kudukarayo okunge daruwantath hena gahanawa me karapu aparadayata,Hate
sakkili thambinta denna ona apa nathiwenna yako munta giya rata,Hate
okunta noka marila yannama ariya nam hodai me ratata puduma karadarayak meun kalakanni,Hate
palayan hutto appata ho gannata okkoma kadawala kapala patta wesiyo dan ka gahanawa,Hate
pakaya tho mariya balla,Hate
me naki hukannage bijja kapala danna one,Hate
mu ayeth eliyata awith okama karanawa kari thambiya,Hate
muge kona kapalada nathnam mulinma kapala damu muta nadu dala pala natha,Hate
me ganaita sapa wewa,Hate
balu wesi thoge amma balloth lagala thowa jathaka karala thiyenne,Hate
hampada padangu demalu wesavi,Hate
sheet kadala jara karana ekek dakkoth ponnayo wage balan innathuwa atha purola kana palenna gahapan anith untath penna,Hate
post ekak share kirima ho nokirima gana wimaseemata wada awaboda karagatha yuththe sinhalaya maruu muslimanuwo para ballo,Hate
niyamai kollo kalakanni deshapaluwange paranparawal hadi gawila palayaw,Hate
demu hadigawila yanna siyaluma deshapaluwanta,Hate
thopita ohoma wela madi ,Hate
hikmima agamakin ho thaman thulin witharak ana deyak nowa samuhayak mulu samajayak wisinma purudu puhunu kala deyak bawa pahadiliya,Hate
lankawe ohoma bus ekak dammoth eka thahanam karanna kiyala pikatin yai ehew eun inne meke,Hate
okun kawadada hari wada kale balu hatta,Hate
mu nikan iceage eke ruudi wage modama hukannek balu jana muge waraddak na ammage waradda,Hate
ane hukapan hutto thoge sinduwa ahuwa witharai ape balla agiya athak na seeyath hina wela pana adinawa,Hate
kingsberry eke inne ammata hukana kari wesa ponnayo tuwitter awith hena line allanne pala mage dahata nopeni,Hate
sudu thaththi kiyapu katinma thamai wesa ballo kiyanne,Hate
wesa mesan basla ekka wada krnna giyama thamai gewal hadana eka epa wenne,Hate
lankaweth innawa gabini mawak unath baduwak wage dakina naha wesa haththak katu kambi walak kosu mitaka othala pitipassen obanna one okunta aminenna,Hate
waradi deta waradi kiuwata kotintanam kade yanne na me pana thiyenakan wesa ballo,Hate
me wesa ballo balliyek dakka gaman para haraha paninawa ahillak balillak nathuwa thawa podden eka ballige puthek paralowa yanawa wahane wadila,Hate
uge ammata wesa hawa ha yako sinhala un inna thanwalin harawala dena wathura tika uthurata gihin sinhala unta pawichchiyta ganna barida,Hate
ane menna mu jeewath una athi gahala marapiyaw pollakin,Hate
warew menna walahek ape jathiya wada krnna apu walaha marapiyaw gahpiyaw kotapiyaw gini thiyapiyaw,Hate
gema molen gahanna barinam winasha karapiyaw kotapiyaw marapiyaw,Hate
mawa marapiyaw redda athi wela thiyenne me jeewithe,Hate
mama ayahapath deyak karanawada ehema karanawa nam gahala marapiyaw,Hate
kotapiyaw marapiyaw ka nogaha,Hate
indiyawe deewara haththath anne lankawe halmassata kotanna marpiyaw un,Hate
elakiri marapiyaw okunwa,Hate
gahapiyaw arapiyaw bo palaya kapa damimen niwana ahimi wu bauddayan,Hate
issarahata sashe packet ekak ei rupiyalai kiyala hukana ratak mekanam eka eka gahana game api balan innawa,Hate
ubata bonna puluwannam ekenma a podi pakaya,Hate
aiya pakayawage kiyana eka wenta me kiyala thiyenne,Hate
thatte gagena full shave karan hada mama wage hitapanko pakaya nowi,Hate
kawda hutto durian aran bus ekata nagga pakaya,Hate
ara pakaya  ethakota jathiwadi nadda apita thama eka eka redda ussan anne,Hate
kari ponnaya hukawaganna hadanne pakaya renna thiyena puka denne nathuwa hitapan hujja podi eka,Hate
pakaya salari dala nane,Hate
policiyatah miris  kudu gahuwa kalakanni wesige puthala palayaw kade okunta awith sathiyai masayak giyoth mona karaida,Hate
