Coment,Status
මොකක්ද ම් වීඩියෝ එකේ ඉන්න කෙල්ලගෙ නම,Neutral
මං හිතුවේ නෑ දිලීප සාරංග මේ වගේ එකෙක් කියලා,Neutral
මම ට අඩු එකෙක් අර අක්කා ලස්සනයි  🌷 🌷,Neutral
බනිස් වගේ දෙයක් දැක්කා,Neutral
ගහ හැකි අාදර්ශයන් ටැටු ගහන කොට විවිධ ඉරියවි වලින් සිටිය යුතුය  😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,Neutral
හරි හමන් රැල්ලක් අවනම් අරකිව ගහගෙන යන්නෙ අහි පිල්ලමක් ගහන්නත් කලින් 😂 😂,Neutral
මෙි හෙලුවැලි ගැනු දාලද මුන් ගායකයො වෙන්න හදන්නෙ,Neutral
සිංදු කරද්දී විශුවල් වලට ගොන් බඩු ගන්න එපා අයියෙ  😂,Neutral
මල විකාර හෙලුව විකුනන් කාපල්ල,offensive
කාල කන්නි ගැහැනු මුට පායට ලකුනු සෙයනවා සිංදු කියන එක මිනිසාව සුව කරන දෙයක් මිස  😡 😡 😡 😡,offensive
කිසිම තේරුමක් නැති වීඩියෝ එකක් ඇග විකුනන් කන එවුන්ට හොදයි,Neutral
බඩු ෆෝම් කරනවා කියන්නේ මේකට  😂,offensive
අනෙ කොල්ලො අපිට අත්ටැක්ටරයක්වත් එලවන්න ඔය වගෙ වීඩියො ටිකක් දාපං හොදෙ,Neutral
ස්මොකියොත් නොන්ඩි වෙනවාමේවගේ හුත්තේ වීඩියෝ හින්දා,Hate
මොනා උන්ත් සින්දුව සුපිරි,Neutral
ඉරාජ් ගේ ඒවා එක්ක බලද්දී මට නම් මේවා හොඳ යි,Neutral
ඔස්ටින්ටත් තුවක්කුවක් ගන්න හෙන කාලයක් ගියා  🤣,Neutral
කාලය හරහා අතීතයට යන්න පුළුවන් වුනානම් මුන්ගෙ තාත්තලාට කොන්ඩම් දීල එන්න තිබුණා  😂 😂 😂 😂 😂 😂 😂,Neutral
මුන් කට ඇරන් බලලා කියන කතා බලපන්කෝ නිකන් පුකේ ටෝක් දාන්න එපා හුත්තෝ ඒකත් කලාවක්  🖕,Hate
අර දිග මාලයක් දාන් කලු ඇදන් ඉන්න සුදු එක්කෙනා කවුද  🙄,Neutral
